UID,Variable Name,Short Name,Scale,Domain,Concept Group,Units,Effective Analytical Resolution,Notes,Description
11,prec_winter_med,Winter Precip (Median),Subregional,Climate,Climate Variability,mm,"1–4 sq-km, informed from 800 sq-m PRISM data",Indicates snowpack formation potential and winter water storage.,"Sum of zonal medians of winter monthly precip (Dec–Feb) from PRISM 1991–2020 normals, calculated across Level III ecoregions."
12,prec_summer_med,Summer Precip (Median),Subregional,Climate,Climate Variability,mm,"1–4 sq-km, informed from 800 sq-m PRISM data",Captures convective storm seasonality (flood-prone regions).,"Sum of zonal medians of spring monthly precip (Mar–May) from PRISM 1991–2020 normals, calculated across Level III ecoregions."
13,prec_spring_med,Spring Precip (Median),Subregional,Climate,Climate Variability,mm,"1–4 sq-km, informed from 800 sq-m PRISM data",Key springtime recharge and flood generation season; relevant to melt-transition systems and early crop needs.,"Sum of zonal medians of summer monthly precip (Jun–Aug) from PRISM 1991–2020 normals, calculated across Level III ecoregions."
14,cnt_freeze_thaw,Freeze–Thaw Days,Local,Climate,Climate Variability,days,Catchment-level (~1–5 sq-km) ,"Captures thermally transitional zones; relevant for soil structure, infiltration disruption, and freeze–thaw runoff events.","Zonal count of freeze–thaw transition days based on PRISM daily data (1991–2020), calculated across NHD+ catchments"
15,prec_intensity,Precip Intensity (95th %),Local,Climate,Climate Variability,mm,Catchment-level (~1–5 sq-km) ,Captures storm severity at upper tail. Correlated with flash flood potential and runoff generation efficiency.,
16,wet_day_freq_seasonal,Wet Day Frequency (Seasonal),Local,Climate,Climate Variability,days,Catchment-level (~1–5 sq-km) ,Storm frequency and seasonal spacing. Interacts with intensity to shape hydrograph form and flood likelihood.,
17,frac_nlcd_cropland,Cropland Fraction,Macroregional,Land Cover,Land Cover,"proportion [0, 1]","Macroregional (~50,000–100,000 sq-km) ","Dominant land cover type in agricultural basins. Reflects human land use, runoff potential, and evapotranspiration demands.",
18,frac_nlcd_forest,Forest Fraction,Macroregional,Land Cover,Land Cover,"proportion [0, 1]","Macroregional (~50,000–100,000 sq-km) ",Forest cover dampens runoff and increases interception. Often associated with lower skew and more buffered hydrographs.,
19,frac_nlcd_grassland,Grassland Fraction,Macroregional,Land Cover,Land Cover,"proportion [0, 1]","Macroregional (~50,000–100,000 sq-km) ",Grasslands moderate infiltration and evapotranspiration; especially important in mixed-use rangelands of the Plains.,
20,frac_nlcd_urban,Urban Fraction,Macroregional,Land Cover,Land Cover,"proportion [0, 1]","Macroregional (~50,000–100,000 sq-km) ",Urbanized land increases imperviousness. Strong driver of peak flows and flood skew.,
21,pct_cov_by_class_modis,Land Cover % (MODIS),Subregional,Land Cover,Land Cover,"proportion [0, 1]","~250–1000 m, based on MODIS land cover fraction",Represents the dominant cover type. More interpretable than nominal class. Useful in mosaicked or fragmented landscapes.,
22,lnd_use_div_ind_2016_modis,Land Use Diversity (MODIS),Subregional,Land Cover,Land Cover Diversity,unitless index (Shannon–Weiner),"~250–1000 m, MODIS MCD12Q1 aggregation","Captures land use fragmentation, heterogeneity. May correlate with infiltration variation and complex runoff behavior.",
23,pct_cov_by_class_nlcd,Land Cover % (NLCD),Local,Land Cover,Land Cover,"proportion [0, 1]",Catchment-level (~1–5 sq-km) ,"Proportion of catchment covered by dominant land class. Useful for integrating land cover with slope, aspect, and flow.",
24,lnd_use_div_ind_nlcd,Land Use Diversity (NLCD),Local,Land Cover,Land Cover Diversity,unitless index (Shannon–Weiner),Catchment-level (~1–5 sq-km) ,Captures local heterogeneity within catchments. Useful for modeling land cover transitions or mixed urban–ag–grass mosaics.,
25,ndvi_amplitude_2016_modis,NDVI Amplitude,Regional,Land Cover,Vegetation Indices,"unitless [-1, 1]","~250–1000 m, MODIS MOD13Q1",Magnitude of greenness seasonal change. Indicates vigor and seasonality of vegetation response to climate.,
26,ndvi_iqr_2016_modis,NDVI IQR,Regional,Land Cover,Vegetation Indices,"unitless [-1, 1]","~250–1000 m, MODIS MOD13Q1",Captures seasonal variation in greenness. IQR is robust to outliers—good for mosaic or transitional landscapes.,
27,ndvi_len_grow_seas_2016_modis,Growing Season Length,Regional,Land Cover,Vegetation Indices,days,"~250–1000 m, MODIS MOD13Q1",Number of growing-season days. Useful in hydrologic modeling for evapotranspiration or baseflow duration.,
28,ndvi_seas_pk_2016_modis,Peak NDVI,Regional,Land Cover,Vegetation Indices,"unitless [-1, 1]","~250–1000 m, MODIS MOD13Q1",Maximum greenness during growing season. Proxy for biomass peak or vegetative productivity in humid/arid zones.,
29,slope_mean,Mean Slope,Macroregional,Topography,Topography,degrees,"Macroregional (~50,000–100,000 sq-km) ",Captures broad terrain steepness across macroregions; helps distinguish dissected plains vs flat regions.,
30,slope_median,Median Slope,Macroregional,Topography,Topography,degrees,"Macroregional (~50,000–100,000 sq-km) ",Central tendency of slope; more robust to outliers than mean. Useful in classifying runoff/infiltration dominance.,
31,altitude_zone,Altitude Zone,Macroregional,Topography,Topography,meters,"Macroregional (~50,000–100,000 sq-km) ","Important for capturing macroregional elevational trends that govern temperature, snow persistence, and runoff seasonality.","Mean altitude of station gage, based on point location metadata, calculated across custom macrozones"
32,slope_dist_mean,Mean Slope Distribution,Regional,Topography,Topography,degrees,Moderate resolution (5–10 km)  derived from 10 m NED,"Average terrain steepness across ecoregions. Linked to stream energy, flow velocity, sediment transport.",
33,slope_dist_skew,Slope Skewness,Regional,Topography,Topography,degrees,Moderate resolution (5–10 km)  derived from 10 m NED,Asymmetry of slope distribution. Highlights dominant gentle/steep terrains; useful for detecting breaks in terrain.,
34,slope_variability_iqr,Slope Variability (IQR),Regional,Topography,Topography,degrees,Moderate resolution (5–10 km)  derived from 10 m NED,Captures slope diversity in a robust way (less sensitive to extremes). Linked to flow complexity and infiltration.,
35,slope_variability_sd,Slope Variability (StDev),Regional,Topography,Topography,degrees,Moderate resolution (5–10 km)  derived from 10 m NED,Captures terrain variability including extremes. May signal areas of complex topography with abrupt slope changes.,
36,roughness_index,Surface Roughness,Subregional,Topography,Topography,unitless index or m/m (slope ratio),Catchment-level (~1–5 sq-km) ,"Small-scale terrain heterogeneity. Linked to microrelief, runoff dispersion, ponding, and infiltration zones.",
37,twi_index_mean,TWI Mean,Subregional,Topography,Topography,unitless index,10–30 m (from NED) continuous,Average soil moisture tendency. Combines slope and upslope contributing area.,
38,twi_index_modal,TWI Modal,Subregional,Topography,Topography,unitless index,10–30 m (from NED) modal,Most common soil moisture potential class in catchment. Helps classify dominant runoff tendency.,
39,twi_class,TWI Class,Subregional,Topography,Topography,class label or ordinal ID,Catchment-level (~1–5 sq-km) ,Categorical version of TWI to simplify terrain–moisture interactions. Improves model interpretability.,
40,roughness_index,Surface Roughness,Subregional,Topography,Topography,unitless index or m/m (slope ratio),Catchment-level (~1–5 sq-km) ,Micro-topographic heterogeneity. Proxy for infiltration potential and ponding risk.,
41,elev_range_m,Elevation Range,Local,Topography,Topography,meters,Catchment-level (~1–5 sq-km) ,"Represents terrain steepness (catchment relief). Reflects runoff energy driving runoff potential, erosion potential, and sediment transport; and hydrograph steepness driving flashiness","Zonal median elevation range (maximum minus minimum elevation) within each NHD+ catchment, based on 10 m NED data."
42,,,,,,,,,
43,aspect_cos,Aspect (Cosine),Local,Topography,Topography,dimensionless  (–1 to +1),Catchment-level (~1–5 sq-km) ,"North–south slope orientation. +1 = north-facing; linked to solar exposure, snow persistence, and evapotranspiration rates.","Zonal median of the cosine of aspect within each NHD+ catchment, derived from 10 m NED data. "
44,aspect_sin,Aspect (Sine),Local,Topography,Topography,dimensionless (–1 to +1),Catchment-level (~1–5 sq-km) ,"East–west slope orientation. +1 = east-facing; controls early-day sun exposure, influencing melt timing and phenology.","Zonal median of the sine of aspect within each NHD+ catchment, derived from 10 m NED data. "
45,curvature_iqr,Curvature IQR,Local,Topography,Topography,unitless,Catchment-level (~1–5 sq-km) ,"Reflects local variation in concavity/convexity as the spread of curvature values across catchment. High variability = complex terrain, mixed flow pathways, potential for localized erosion.",IQR of combined curvature types across each NHD+ catchment
46,curvature_planiform,Planform Curvature,Local,Topography,Topography,unitless,Catchment-level (~1–5 sq-km) ,"Detects flow convergence/divergence on hillslopes, channels (negative) and ridges (positive) linked to channel initiation, ponding, and routing divergence.","Zonal median of planform (horizontal) curvature  for each NHD+ catchment, derived from 10 m NED data."
47,curvature_profile,Profile Curvature,Local,Topography,Topography,unitless,Catchment-level (~1–5 sq-km) ,Captures slope acceleration/deceleration along flow paths. Key for identifying concave (depositional) vs convex (erosional) zones.,"Zonal median of profile (vertical) curvature for each NHD+ catchment, derived from 10 m NED data."
48,wtsd_circ_ratio,Watershed Circularity,Local,Topography,Topography,unitless (sq-m/sq-m),~5–10 km derived from zonal stats,"How circular a watershed is. High values = fast runoff, short lag; low values = elongated response.",
49,wtsd_elong_ratio,Watershed Elongation,Local,Topography,Topography,unitless (m/m),~5–10 km derived from zonal stats,Catchment shape index. Low elongation = spread out hydrograph. High elongation = flashier peaks.,
50,wtsd_elong_ratio,Watershed Elongation,Local,Topography,Topography,m/m,~5–10 km derived from zonal stats,Shape metric: Low = long & narrow ? delayed runoff. High = compact ? quicker hydro response. Affects peak flow shape.,
51,wtsd_circ_ratio,Watershed Circularity,Local,Topography,Topography,unitless ratio (0–1),~5–10 km derived from zonal stats,"Compactness of basin shape. High = more circular ? more synchronous flow, steeper hydrograph; Low = elongated ? delayed response.",
52,,,,,,,,,
53,,,,,,,,,
54,,,,,,,,,
55,,,,,,,,,
56,,,,,,,,,
57,,,,,,,,,
58,soil_perm,Soil Permeability,Subregional,Watershed,Watershed Metrics,um/h or mm/h,Catchment-level (~1–5 sq-km) ,Rate at which water infiltrates soil. Low permeability = high runoff potential = more positive skew.,
59,soil_runoff_class,Soil Runoff Class,Subregional,Watershed,Watershed Metrics,class A–D (ordinal),Catchment-level (~1–5 sq-km) ,"USDA hydrologic group (A = high infiltration, D = high runoff). Linked to storm response class.",
60,str_density,Stream Density,Local,Watershed,Watershed Metrics,meters per square meter,Catchment-level (~1–5 sq-km) ," ""Total stream length / area. More dissected basins respond faster; linked to runoff concentration.""",
61,str_flow_len_ave,Mean Flow Length,Local,Watershed,Watershed Metrics,meters,Catchment-level (~1–5 sq-km) ," ""Average stream path length. Longer = slower response; shorter = rapid runoff concentration.""",
62,str_slope,Stream Slope,Local,Watershed,Watershed Metrics,m/m,Catchment-level (~1–5 sq-km) ,Gradient of the main stream path (elevation drop / length). Strongly influences runoff velocity and hydrograph steepness.,
63,altitude,Station Altitude,Macroregional,Watershed,Geospatial Location,meters,Point data used as a spatial predictor," Influences temperature regime, snow persistence, and climatic classification.",Represents elevation above sea level at gage.
63,wtsd_relief_ratio,Relief Ratio,Local,Watershed,Watershed Metrics,m/m,Catchment-level (~1–5 sq-km) ,Relief / main channel length. Measures basin steepness and hydrologic energy. Useful for flashiness and sediment potential.,
