US_L4CODE,macrozone,estimated_koppen,vege_lnd_use,hydrology,terrain,eco_level
26d,mixed,BSk,"Sideoats, black, and blue grama, sand dropseed,
buffalograss, western wheatgrass, galleta, alkali sacaton, and fringed sagewort","streams intermittent or spring fed, salty, and sometimes turbid","Tablelands, terraces, and broken topography bordering Canadian River and
tributary canyons",L4
26e,shortgrass,BSk,"blue grama, green needlegrass, buffalograss, needle-and-thread, red threeawn",intermittent with a few perennial streams,Irregular and dissected plains,L4
26f,shortgrass,BSk,Shortgrass prairie intergrades with Rocky Mnt foothills Pinyon-juniper woodland,spring-fed perennial streams often disappearing into alluvium,"broad basaltic mesa, knobs, dissected plains with deep canyons; steep slopes common",L4
26g,shortgrass,BSk,Pinyon-juniper woodland and shortgrass prairie,perhaps intermittent,"dissected plains and tablelands with some hills, steep canyons, and rock outcrops",L4
26h,shortgrass,BSk,Pinyon-juniper woodlands; some montaine coniferous forest,perhaps intermittent,dissected plains and tablelands with some scattered ridges and hills,L4
26i,mixed,BSk,"pine-oak woodlands; big and little bluestem, Montana and western wheatgrass, sideoats grama",perhaps intermittent,dissected plains and hills,L4
26j,mixed,BSk,"indiangrass, big and little bluestem, switchgrass, fescues, ponderosa pine, Gambel oak",perhaps intermittent,dissected and irregular plains,L4
26k,shortgrass,BSk,"sandsage prairie: sand sagebrush, sand bluestem, prairie sandreed, blowout grass, little bluestem",perhaps ephemeral,rolling plains with stabilized sand sheets and areas of low sand dunes,L4
26l,shortgrass,BSk,"shortgrass prairie, some midgrass prairie, scattered juniper savanna and woodland",perhaps intermittent to ephemeral,heterogeneous; influenced by proximity to mountainous regions,L4
26m,shortgrass,BSk,"pinyon pine, one-seed juniper, and some ponderosa pine at higher elevations",perhaps intermittent to ephemeral,canyon lands,L4
26n,shortgrass,BSk,"rangelands; blue grama, galleta, sand dropseed, threeawns, ring muhly",perhaps intermittent to ephemeral,"broad, rolling plains, tablelands, and piedmonts",L4
26o,shortgrass,BSk,"rangelands; shortgrass steppe, some mixed-grass prairie",perhaps intermittent to ephemeral,"perhaps broad, rolling plains",L4
26p,shortgrass,BSk,fourwing saltbush and alkali sacaton,lake basins annual evaporation greater than annual precipitation,large closed lake basins,L4
26q,shortgrass,BSk; transitional with Chihuahuan Desert grasslands,"blue grama, black grama, hairy grama, sideoats grama, triden, threeawn",perhaps intermittent to ephemeral,well-dissected topography with numerous draws and shallow canyons,L4
27a,mixed,Cfa,cropland; winter wheat,perhaps intermittent to perennial,undulating to hilly dissected plain,L4
27b,mixed,Cfa,"big and little bluestem, blue and side-oats grama, needle-and-thread, western wheatgrass",perhaps intermittent to perennial,dissected plains with broad undulating ridge tops and hilly to steep valley sides,L4
27c,mixed,Cfa,"cropland; winter wheat, sorghum, alfalfa; sand prairie-bunch grasses",perhaps intermittent,"undulating to rolling sandy plains, dune areas",L4
27d,mixed,Cfa,"cropland; winter wheat; big and little bluestem, indiangrass, switchgrass","perennial streams and numerous springs ,intermittent (type-F) low-gradient streams",flat alluvial lowlands,L4
27e,mixed,Cfa,"rangeland, some cropland; big and little bluestem, sideoats and blue grama, western wheatgrass",perennial and intermittent streams,rolling dissected plains with deep loess layer,L4
27f,tallgrass,Cfa,transitional: tallgrass prairie to the east and mixedgrass prairie in the west,"historically, extensive rainwater basins, and wetlands",flat to gently rolling loess-covered plains,L4
27g,tallgrass,Cfa,lowland tallgrass prairie with areas of wet meadow and marsh,"shallow, interlacing streams on a sandy bed","flat, wide alluvial valley",L4
27h,shortgrass,Cfa,"cropland, rangeland; wheat, sorghum, alfalfa; mesquite–buffalograss, shinnery",Streams largely intermittent. Larger braided rivers with high sediment load,level to rolling plain,L4
27i,shortgrass,Cfa or BSk,"rangeland, cropland; mesquite–buffalograss; mesquite shrublands","streams largely intermittent; larger rivers meandering, turbid","dissected plain, cuesta topography",L4
27j,shortgrass,BSk,"shortgrass to mixed-grass: buffalograss, little and silver bluestem, sideoats grama",most streams intermittent,rolling plains with some low hills or ridges,L4
27k,shortgrass,Cfa or BSk,post and blackjack oak woodlands; short grasses and scattered prickly pear,gravel and cobble substrates; distinct stream assemblages and water quality,high relief granite-gabbro mountainous region with rocky outcrops,L4
27l,shortgrass,Cka or BSk,sand sagebrush–bluestem prairie; oak savanna,"lack well-developed drainage networks; high water tables, abundant springs","active, barren, or stabilized Pleistocene Sand Dunes found along major rivers",L4
27m,shortgrass,Cka or BSk,"irrigated cropland; mesquite–buffalograss; some mixed-grass prairie; lotebush, ephedra",irrigation water largely derived from solution cavities in underlying gypsum beds,nearly level,L4
27n,mixed,Cka or BSk,mixed grass prairie and scattered trees,karst; many spring-fed tributaries,"karst terraine; breaks, escarpments, gorges, ledges, caves, canyons",L4
27o,mixed,Cka or BSk,"rangeland and cropland; transitional prairie-savanna; prairie grasses, eastern redcedar, oak, elm",channelized streams; rocky substrates,rough rugged plains,L4
27p,shortgrass,Cka or BSk,"barren areas, halophytic vegetation, seapurslane, western seepweed, little bluestem",lakes; may not support good drainage networks,salt flats,L4
27q,mixed,Cka or BSk,"rangeland, some cropland; mostly mixed-grass, shinnery, shortgrass higher elevation",extensive flood control projects modify regional hydrology; entrenched streams,"gently to steeply sloping hills, breaks, gypsum karst",L4
27r,shortgrass,Cka or BSk,rangeland,"many springs, but no perennial streams, occur","steep, stony, carbonate rocks",L4
29a,tallgrass,Cka or Cfa,"pastureland, cropland; post and blackjack oak, tall grass prairie understory","typically shallow, sandy streams","hills, cuestas, and ridges",L4
29b,tallgrass,Cka or Cfa,"pastureland, cropland; oak savanna, oak forest, eastern redcedar,tallgrass prairie",NA_character_,"rolling hills, cuestas, and ridges ",L4
29c,tallgrass,Cka or Cfa,"pastureland, cropland; oak savanna, scrubby oak forest, and prairie",NA_character_,"rolling hills, cuestas, and ridges",L4
29d,tallgrass,Cka or Cfa,"cropland, pastureland American elm, hackberry, pecan, tall grass prairie uplands","incised, meandering streams",nearly level to rolling,L4
29e,mixed,BSk,"shrubland, grassland, and woodland; Mid-tall grassland: big and little bluestem, indiangrass, tall dropseed, sideoats grama","headwater streams in narrow canyons, lower reaches in broader valleys, springs common","benched or stairstep topography, capped mesas, eroded sideslopes, broad flat valleys",L4
29f,mixed,BSk,"Oak forest upland; sideoats grama, big and little bluestem, silver bluestem, switchgrass","low to moderate gradient, turbid streams and rivers",rounded low hills and mountains,L4
29g,tallgrass,Cka or Cfa,"cropland, grazing land; tall grass prairie, oak savanna","perannial gravel, cobble, bedrock, coarse sand streams",rolling hills and plains,L4
29h,tallgrass,Cka or Cfa,blackjack oak–post oak savanna; tallgrass prairie; sugar maple forest,"perannial, spring-fed streams; modified by upstream flood control, channelization",rolling hills,L4
29i,tallgrass,Cka or Cfa,post oak–blackjack oak–winged elm woodland,"steep, cool, clear, fast-flowing, spring-fed streams, bedrock or gravel substrates","mesic ravines, ledges, caves, sinkholes, springs",L4
30a,mixed,BSk,"oak savanna; grassland: little bluestem, indiangrass, sideoats grama","low to moderate gradient streams; bedrock, cobble, gravel, and sandy substrates","elevated plateau; rolling to rounded hills, broad valleys",L4
30b,shortgrass,BSk,"oak savanna mixed with mesquite grassland: little bluestem, sideoats grama, Texas wintergrass","low to moderate gradient streams with cobble, boulder, and sandy substrates",flat to rolling terrain punctuated by ridges and bare rock outcrops,L4
30c,mixed,BSk,"oak savanna; grasslands: little bluestem, indiangrass, sideoats grama, Texas wintergrass","moderate to high gradient streams with bedrock, cobble, and gravel substrates",dissected plateau and escarpment with stair step topography,L4
30d,shortgrass,BSk,"little bluestem, buffalograss, forbs, Texas wintergrass, green sprangletop, threeawns",streams mostly ephemeral or intermittent,flat to gently rolling plateau dissected by canyons,L4
31a,mixed,BSk,"cropland, rangeland; Mesquite-acacia savanna, little bluestem, sideoats grama, plains bristlegrass",NA_character_,"lighty to moderately dissected irregular plains, broad, gently sloping alluvial fans",L4
31b,mixed,BSk,"rangeland; mesquite-acacia-savanna, slim tridens, red grama, purple threeawn, plains bristlegrass",springs and some perennial streams,"lightly to moderately dissected irregular plains, with alluvial fans",L4
31c,mixed,BSk,"mesquite-acacia-savanna, some mesquite-live oak savanna, scattered mid and short grasses",NA_character_,lightly to moderately dissected irregular plains,L4
31d,mixed,BSk,"woody riparian: hackberry, Mexican ash, cedar, elm, multiflowered false rhodesgrass, sacaton, cottontop, plains bristlegrass",NA_character_,floodplain and narrow terraces,L4
32a,tallgrass,Cka or Cfa,"croplands; historically, tallgrass prairie: big and little bluestem, indiangrass","low to moderate gradient streams with silty, clayey, and sandy substrates","irregular plains, lightly to moderately dissected",L4
32b,tallgrass,Cka or Cfa,"croplands; historically, tallgrass prairie: big and little bluestem, brownseed paspalum","low to moderate gradient streams with silty, clayey, and sandy substrates","irregular plains, lightly to moderately dissected",L4
32c,tallgrass,Cka or Cfa,"Bottomland hardwood forest: bur, Shumard, post oak, green ash, pecan, cedar elm","low gradient streams with sand, silt, clay, and gravel substrates","flat floodplains with sloughs, natural levees, and associated alluvial low terraces",L4
