uid,variable_name,short_name,dataset,description,notes,unit,effective_analytical_resolution,scale,scale_ordinal,domain,domain_cat,concept_group,concept_group_cat,raster_subfolder,raster_file_name,zonal_subfolder,zonal_file_name,layer_name
11,nlcd_devlop_prop,NLCD Developed Fraction,NLCD 2016 Land Cover,"Proportion of NLCD developed land open space (21), low-intensity (22), medium-intensity (23), high-intensity (24), aggregated to macroregional zones.",Urban development increases imperviousness; strongly associated with peak flow generation and positive flood skew.,proportion [0 to 1],"~50,000 to 100,000 sq-km (macroregional zone level)",Macroregional,1,Land Cover,B,Land Cover,C,nlcd,nlcd_2016_gp.tif,us_ecoregions,us_eco_levels.gpkg,NA
12,slope_mean,Mean Slope,NED slope,"Mean slope (from NED), aggregated to macroregional zones.",Describes average terrain steepness. Helps distinguish rugged uplands from flatter plains.,degrees,"~50,000 to 100,000 sq-km (macroregional zone level)",Macroregional,1,Topography,C,Topography,E,ned,slope_gp_5070_90m.tif,us_ecoregions,macrozones_gp.gpkg,NA
13,slope_median,Median Slope,NED slope,"Median slope (from NED), aggregated to macroregional zones.",Reflects typical terrain slope. More robust to outliers than the mean; useful for evaluating runoff tendency.,degrees,"~50,000 to 100,000 sq-km (macroregional zone level)",Macroregional,1,Topography,C,Topography,E,ned,slope_gp_5070_90m.tif,us_ecoregions,macrozones_gp.gpkg,NA
14,altitude_zone,Altitude Zone,USGS station data,"Mean elevation of gage locations, aggregated to macroregional zones.","Represents elevational regime. Influences climate, snow duration, and runoff seasonality.",meters,"~50,000 to 100,000 sq-km (macroregional zone level)",Macroregional,1,Topography,C,Topography,E,peakflow_gages,gage_summary_skew.gpkg,us_ecoregions,us_eco_levels.gpkg,NA
15,prec_ann_med,Annual Precip (Median),PRISM annual pct,"Zonal median of total annual precipitation from PRISM 1991 to 2020 climatological normals, aggregated to Level II ecoregions.","Represents typical annual moisture supply; important for soil moisture availability, runoff potential, and vegetation productivity.",mm,"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Climate,A,Climate Patterns,A,prism,ppt_ann_mm_stack.tif,us_ecoregions,us_eco_levels.gpkg,us_eco_l2
16,temp_ann_med,Annual Temp (Median),PRISM annual temp,"Zonal median of total annual precipitation from PRISM 1991 to 2020 climatological normals, aggregated to Level II ecoregions.","Governs evapotranspiration, freeze thaw, and snowpack formation. Represents the baseline thermal regime.",degrees C,"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Climate,A,Climate Patterns,A,prism,temp_ann_C_stack.tif,us_ecoregions,us_eco_levels.gpkg,us_eco_l2
17,prec_ann_pct_may_aug_mean,Pct Annual Precip May to Aug (Mean),PRISM monthly pct,"Zonal mean of the percentage of annual precipitation falling May to August from PRISM 1991 to 2020 climatological normals, aggregated to Level II ecoregions.",Characterizes warm-season water input. Useful for identifying storm-driven systems tied to convective seasonality.,proportion [0 to 1],"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Climate,A,Climate Variability,B,prism,ppt_monthly_mm_stack.tif,us_ecoregions,us_eco_levels.gpkg,us_eco_l2
18,prec_ann_pct_may_aug_med,Pct Annual Precip May to Aug (Median),PRISM monthly pct,"Zonal mean of the percentage of annual precipitation falling May to August from PRISM 1991 to 2020 climatological normals, aggregated to Level II ecoregions.","Captures the typical proportion of precipitation falling in the warm season, which is important for Great Plains hydrology.",proportion [0 to 1],"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Climate,A,Climate Variability,B,prism,ppt_monthly_mm_stack.tif,us_ecoregions,us_eco_levels.gpkg,us_eco_l2
19,ndvi_amplitude_2016_modis,NDVI Amplitude,MODIS 2016 NVDI,"Zonal median of annual NDVI amplitude for 2016 MODIS data, aggregated to Level II ecoregions.",Captures seasonal variation in greenness. High amplitude reflects strong vegetation response to climate fluctuations.,unitless [minus 1 to 1],"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Land Cover,B,Vegetation Indices,D,modis/mod13a1_ndvi_timeseries,nvdi_2016_stack,us_ecoregions,us_eco_levels.gpkg,us_eco_l2
20,ndvi_iqr_2016_modis,NDVI IQR,MODIS 2016 NVDI,"Zonal median of the interquartile range (IQR) of NDVI values for 2016 MODIS data, aggregated to Level II ecoregions.",Describes central spread of seasonal greenness. Robust to outliers and well-suited to fragmented or transitional landscapes.,unitless [minus 1 to 1],"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Land Cover,B,Vegetation Indices,D,modis/mod13a1_ndvi_timeseries,nvdi_2016_stack,us_ecoregions,us_eco_levels.gpkg,us_eco_l2
21,ndvi_len_grow_seas_2016_modis,Growing Season Length,MODIS 2016 NVDI,"Zonal median of the length of the 2016 growing season (NDVI-based), aggregated to Level II ecoregions.",Indicates length of vegetative activity. Influences evapotranspiration rates and baseflow timing.,days,"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Land Cover,B,Vegetation Indices,D,modis/mod13a1_ndvi_timeseries,nvdi_2016_stack,us_ecoregions,us_eco_levels.gpkg,us_eco_l2
22,ndvi_seas_pk_2016_modis,Peak NDVI,MODIS 2016 NVDI,"Zonal median of the seasonal peak NDVI for 2016 MODIS data, aggregated to Level II ecoregions.",Represents seasonal greenness maximum. Serves as a proxy for peak vegetation productivity.,unitless [minus 1 to 1],"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Land Cover,B,Vegetation Indices,D,modis/mod13a1_ndvi_timeseries,nvdi_2016_stack,us_ecoregions,us_eco_levels.gpkg,us_eco_l2
23,slope_dist_mean,Mean Slope Distribution,NED slope,"Zonal mean of NED slope values, aggregated to Level II ecoregions.","Aggregated mean slope at ecoregion scale. Affects stream power, flow velocity, and sediment dynamics.",degrees,"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Topography,C,Topography,E,ned,slope_gp_5070_90m.tif,us_ecoregions,us_eco_levels.gpkg,us_eco_l2
24,slope_dist_skew,Slope Skewness,NED slope,"Zonal skewness of NED slope values, aggregated to Level II ecoregions.",Measures asymmetry in slope distribution. Helps identify dominant terrain types and slope transitions.,unitless (skewness),"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Topography,C,Topography,E,ned,slope_gp_5070_90m.tif,us_ecoregions,us_eco_levels.gpkg,us_eco_l2
25,slope_variability_sd,Slope Variability (StDev),NED slope,"Zonal standard deviation (SD) of slope values from NED data, aggregated to Level II ecoregions.",Quantifies slope variability including extremes. Suggests rugged or heterogeneous terrain.,degrees,"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Topography,C,Topography,E,ned,slope_gp_5070_90m.tif,us_ecoregions,us_eco_levels.gpkg,us_eco_l2
26,slope_variability_iqr,Slope Variability (IQR),NED slope,"Zonal interquartile range (IQR) of NED slope values, aggregated to Level II ecoregions.",Measures slope variability using IQR. Robust to outliers; reflects terrain complexity and infiltration dynamics.,degrees,"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Topography,C,Topography,E,ned,slope_gp_5070_90m.tif,us_ecoregions,us_eco_levels.gpkg,us_eco_l2
27,frac_clay,Clay Fraction,STATSGO2,"Zonal modal fraction of surface soil from zero to 5 cm composed of clay particles from SSURGO2, aggregated to Level II ecoregions.",Indicates surface soil texture. Higher clay content reduces infiltration and increases runoff potential.,proportion [0 to 1],"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Watershed Metrics,D,Soil Properties,F,statsgo2,statsgo2_mupolygon.gpkg,us_ecoregions,us_eco_levels.gpkg,us_eco_l2
28,frac_silt,Silt Fraction,STATSGO2,"Zonal modal fraction of surface soil from zero to 5 cm composed of silt particles from SSURGO2, aggregated to Level II ecoregions.",Indicates intermediate soil texture. Balances water retention and infiltration capacity.,proportion [0 to 1],"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Watershed Metrics,D,Soil Properties,F,statsgo2,statsgo2_mupolygon.gpkg,us_ecoregions,us_eco_levels.gpkg,us_eco_l2
29,frac_sand,Sand Fraction,STATSGO2,"Zonal modal fraction of surface soil from zero to 5 cm composed of sand particles from SSURGO2, aggregated to Level II ecoregions.",Represents infiltration rate of surface soils. Low values indicate higher runoff and steeper hydrographs.,proportion [0 to 1],"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Watershed Metrics,D,Soil Properties,F,statsgo2,statsgo2_mupolygon.gpkg,us_ecoregions,us_eco_levels.gpkg,us_eco_l2
30,str_order_med,Median Stream Order,NHDPlus V21 flowlines,"Zonal median of Strahler stream order derived from NHDPlus v2.1 flowlines, aggregated to Level II ecoregions.","Represents typical drainage network complexity. Based on Strahler order, indicating average stream hierarchy within the watershed.",Strahler order,"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Watershed Metrics,D,Watershed Metrics,G,NA,NA,us_ecoregions,us_eco_levels.gpkg,us_eco_l2
31,str_order_max,Max Stream Order,NHDPlus V21 flowlines,"Zonal maximum stream order in the network derived from NHDPlus v2.1 flowlines, aggregated to Level II ecoregions.",Indicates the largest stream order within the catchment. Useful for identifying drainage basin scale and extent.,Strahler order,"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Watershed Metrics,D,Watershed Metrics,G,NA,NA,us_ecoregions,us_eco_levels.gpkg,us_eco_l2
32,prec_seas_stdev,Seasonal Precip StDev,PRISM monthly pct,Standard deviation of seasonal precipitation totals from PRISM 1991 to 2020 normals aggregated to Level III Ecoregions.,Captures variability across seasons. Sensitive to outliersâ useful for detecting flashiness or hydrologic irregularity.,mm,"~50,000 to 100,000 sq-km, based on Level III ecoregion size and heterogeneity",Subregional,3,Climate,A,Climate Variability,B,prism,ppt_monthly_mm_stack.tif,us_ecoregions,us_eco_levels.gpkg,us_eco_l3
33,prec_seas_iqr,Seasonal Precip IQR,PRISM monthly pct,IQR (25th to 75th percentile) of seasonal precip totals from PRISM 1991 to 2020 normals aggegated to Level III Ecoregions.,Characterizes intra-annual precipitation variability; robust to outliers.,mm,"~50,000 to 100,000 sq-km, based on Level III ecoregion size and heterogeneity",Subregional,3,Climate,A,Climate Variability,B,prism,ppt_monthly_mm_stack.tif,us_ecoregions,us_eco_levels.gpkg,us_eco_l3
34,prec_fall_med,Fall Precip (Median),PRISM monthly pct,Sum of zonal medians of fall monthly precip totals (Sep to Nov) from PRISM 1991 to 2020 normals aggegated to Level III ecoregions.,Captures fall precipitation; relevant to baseflow reset and transition to frontal storm systems.,mm,"~50,000 to 100,000 sq-km, based on Level III ecoregion size and heterogeneity",Subregional,3,Climate,A,Climate Variability,B,prism,ppt_monthly_mm_stack.tif,us_ecoregions,us_eco_levels.gpkg,us_eco_l3
35,prec_winter_med,Winter Precip (Median),PRISM monthly pct,Sum of zonal medians of winter monthly precip (Dec to Feb) from PRISM 1991 to 2020 normals aggegated to Level III ecoregions.,Indicates snowpack formation potential and winter water storage.,mm,"~50,000 to 100,000 sq-km, based on Level III ecoregion size and heterogeneity",Subregional,3,Climate,A,Climate Variability,B,prism,ppt_monthly_mm_stack.tif,us_ecoregions,us_eco_levels.gpkg,us_eco_l3
36,prec_spring_med,Spring Precip (Median),PRISM monthly pct,Sum of zonal medians of summer monthly precip (Jun to Aug) from PRISM 1991 to 2020 normals aggegated to Level III ecoregions.,Key springtime recharge and flood generation season; relevant to melt-transition systems and early crop needs.,mm,"~50,000 to 100,000 sq-km, based on Level III ecoregion size and heterogeneity",Subregional,3,Climate,A,Climate Variability,B,prism,ppt_monthly_mm_stack.tif,us_ecoregions,us_eco_levels.gpkg,us_eco_l3
37,prec_summer_med,Summer Precip (Median),PRISM monthly pct,Sum of zonal medians of spring monthly precip (Mar to May) from PRISM 1990 to 2020 normals aggegated to Level III ecoregions.,Captures convective storm seasonality (flood-prone regions).,mm,"~50,000 to 100,000 sq-km, based on Level III ecoregion size and heterogeneity",Subregional,3,Climate,A,Climate Variability,B,prism,ppt_monthly_mm_stack.tif,us_ecoregions,us_eco_levels.gpkg,us_eco_l3
38,pct_cov_by_class_modis,Land Cover % (MODIS),MODIS 2016 NVDI,"Zonal median of percent cover of dominant land class (cropland, forest, etc.) from MODIS 2016 land cover, aggegated to Level III ecoregions.",Summarizes dominant land cover class by proportion within a zone. Helps interpret complex or fragmented landscapes by reducing pixel-level detail to a single representative class.,proportion [0 to 1],"~50,000 to 100,000 sq-km, based on Level III ecoregion size and heterogeneity",Subregional,3,Land Cover,B,Land Cover,C,modis/mod13a1_ndvi_timeseries,nvdi_2016_stack,us_ecoregions,us_eco_levels.gpkg,us_eco_l3
39,lnd_use_div_ind_2016_modis,Land Use Diversity (MODIS),MODIS 2016 NVDI,Normalized Shannon-Weiner Diversity Index of MODIS land classes aggegated to Level III ecoregions.,"Reflects land use heterogeneity. Higher values indicate fragmented or mixed land cover, which may affect infiltration and runoff patterns.",unitless index (Shannon-Weiner),"~50,000 to 100,000 sq-km, based on Level III ecoregion size and heterogeneity",Subregional,3,Land Cover,B,Land Cover,C,modis/mod13a1_ndvi_timeseries,nvdi_2016_stack,us_ecoregions,us_eco_levels.gpkg,us_eco_l3
40,roughness_index,Surface Roughness,NED elev,"Zonal median of surface roughness, derived from 10 m NED elevation, aggegated to Level III ecoregions.","Captures fine-scale surface texture. Influences ponding, microrelief, and infiltration pathways.",m/m (slope ratio),"~50,000 to 100,000 sq-km, based on Level III ecoregion size and heterogeneity",Subregional,3,Topography,C,Topography,E,ned,ned_gp_5070_90m.tif,us_ecoregions,us_eco_levels.gpkg,us_eco_l3
41,twi_index_mean,TWI Mean,NED elev,"Categorical version of the Topographic Wetness Index (TWI), created by binning continuous TWI values into ordinal classes (e.g., quartiles or hydrologically relevant thresholds). Simplifies terrain and moisture interactions for modeling and interpretability.",Indicates average terrain wetness potential. Combines slope and upstream drainage area.  Lower classes indicate drier conditions; higher classes represent wetter zones with greater runoff accumulation potential.,unitless index,"~50,000 to 100,000 sq-km, based on Level III ecoregion size and heterogeneity",Subregional,3,Topography,C,Topography,E,ned,ned_gp_5070_90m.tif,us_ecoregions,us_eco_levels.gpkg,us_eco_l3
42,twi_index_modal,TWI Modal,NED elev,Zonal mode of 10 m NED Topographic Wetness Index (TWI) values aggegated to Level III ecoregions.,Shows most frequent wetness class. Useful for identifying dominant moisture or runoff conditions.,unitless index,"~50,000 to 100,000 sq-km, based on Level III ecoregion size and heterogeneity",Subregional,3,Topography,C,Topography,E,ned,ned_gp_5070_90m.tif,us_ecoregions,us_eco_levels.gpkg,us_eco_l3
43,twi_class,TWI Class,NED elev,"Zonal assignment  of ordinal NED Topographic Wetness Index (TWI) classes, derived from 10 m NED, aggegated to Level III ecoregions.","Ordinal wetness class derived from TWI. Simplifies terrainâ€“moisture interactions; lower values = drier, higher = wetter zones.",class label (ordinal ID),"~50,000 to 100,000 sq-km, based on Level III ecoregion size and heterogeneity",Subregional,3,Topography,C,Topography,E,ned,ned_gp_5070_90m.tif,us_ecoregions,us_eco_levels.gpkg,us_eco_l3
44,soil_perm,Soil Permeability,STATSGO2,Zonal median of STATSGO2 permeability values aggegated to Level III ecoregions.,Represents infiltration rate of surface soils. Low values indicate higher runoff and steeper hydrographs.,mm/h,"~50,000 to 100,000 sq-km, based on Level III ecoregion size and heterogeneity",Subregional,3,Watershed Metrics,D,Soil Properties,F,statsgo2,statsgo2_mupolygon.gpkg,us_ecoregions,us_eco_levels.gpkg,us_eco_l3
45,soil_runoff_class,Soil Runoff Class,STATSGO2,Zonal modal soil hydrologic group (A to D) from STATSGO2 aggegated to Level III ecoregions.,USDA hydrologic soil group (A to D). Classifies soils by infiltration capacity and storm response.,class A to D (ordinal),"~50,000 to 100,000 sq-km, based on Level III ecoregion size and heterogeneity",Subregional,3,Watershed Metrics,D,Soil Properties,F,statsgo2,statsgo2_mupolygon.gpkg,us_ecoregions,us_eco_levels.gpkg,us_eco_l3
46,flow_accum,Flow Accumulation,NHDPlusHD flowlines,Zonal median of 10 m NED flow accumulation (upslope contributing area) aggegated to Level III ecoregions.,Estimates upslope contributing area. Higher values suggest greater potential for water accumulation and flooding.,contributing area (sq-km),"~50,000 to 100,000 sq-km, based on Level III ecoregion size and heterogeneity",Subregional,3,Watershed Metrics,D,Watershed Metrics,G,nhdphr,nhdphr_flowlines_combined.gpkg,us_ecoregions,us_eco_levels.gpkg,us_eco_l3
47,cnt_freeze_thaw,Freeze-Thaw Days,PRISM daily pct,"Zonal count of freeze-thaw transition days from PRISM daily data (1991 to 2020), aggegated to NHD+ catchments.","Captures thermally transitional zones; relevant for soil structure, infiltration disruption, and freeze thaw runoff events.",days,"~1 to 5 sq-km (catchment scale, NHDPlusHD)",Local,4,Climate,A,Climate Variability,B,prism,FILES NEED PROCESSING,us_ecoregions,us_eco_levels.gpkg,us_eco_l4
48,prec_intensity,Precip Intensity (95th-percentile),PRISM daily temp,"Zonal median of 95th percentile of daily precip on wet days from PRISM daily normals (1991 to 2020), aggegated to NHD+ catchments.",Captures storm severity at the upper tail. Correlated with flash flood potential and runoff generation efficiency.,mm,"~1 to 5 sq-km (catchment scale, NHDPlusHD)",Local,4,Climate,A,Climate Variability,B,prism,FILES NEED PROCESSING,us_ecoregions,us_eco_levels.gpkg,us_eco_l4
49,wet_day_freq_seasonal,Wet Day Frequency (Seasonal),PRISM daily pct,"Zonal median number of wet days (less than 0.1 mm/day) per season from PRISM daily normals (1991 to 2020), aggregated to NHD+ catchments.",Describes storm frequency and seasonal spacing. Interacts with intensity to shape hydrograph form and flood likelihood.,days,"~1 to 5 sq-km (catchment scale, NHDPlusHD)",Local,4,Climate,A,Climate Variability,B,prism,FILES NEED PROCESSING,us_ecoregions,us_eco_levels.gpkg,us_eco_l4
50,pct_cov_by_class_nlcd,Land Cover % (NLCD),NLCD 2016 Land Cover,Zonal median percent cover by dominant NLCD class aggegated to NHDPlusHD catchments.,Shows dominant land cover proportion at the catchment scale. Useful for linking terrain features with hydrologic behavior.,proportion [0 to 1],"~1 to 5 sq-km (catchment scale, NHDPlusHD)",Local,4,Land Cover,B,Land Cover,C,nlcd,nlcd_2016_gp.tif,us_ecoregions,us_eco_levels.gpkg,us_eco_l4
51,lnd_use_div_ind_nlcd,Land Use Diversity (NLCD),NLCD 2016 Land Cover,"Normalized Shannon Weiner Diversity Index of NLCD land cover classes, aggregated to NHDPlusHD catchments.",Measures land cover diversity within a catchment. Supports modeling of transitions or mosaic land use patterns.,unitless index (Shannon-Weiner),"~1 to 5 sq-km (catchment scale, NHDPlusHD)",Local,4,Land Cover,B,Land Cover,C,nlcd,nlcd_2016_gp.tif,us_ecoregions,us_eco_levels.gpkg,us_eco_l4
52,elev_range_m,Elevation Range,NED elev,"Zonal median elevation range (max minus min elevation) from 10 m NED elevation data, aggregated to NHDPlusHD catchments.","Captures elevation spread within catchment. Linked to slope energy, erosion risk, and runoff response.",meters,"~1 to 5 sq-km (catchment scale, NHDPlusHD)",Local,4,Topography,C,Topography,E,ned,ned_gp_5070_90m.tif,us_ecoregions,us_eco_levels.gpkg,us_eco_l4
53,aspect_cos,Aspect (Cosine),NED elev,"Zonal median of the cosine of aspect, derived from 10 m NED elevation data, aggregated to NHDPlusHD catchments.",Quantifies N to S slope orientation. North-facing slopes (values > 0) retain snow longer and reduce evapotranspiration.,unitless [minus 1 to 1],"~1 to 5 sq-km (catchment scale, NHDPlusHD)",Local,4,Topography,C,Topography,E,ned,ned_gp_5070_90m.tif,us_ecoregions,us_eco_levels.gpkg,us_eco_l4
54,aspect_sin,Aspect (Sine),NED elev,"Zonal median of the sine of aspect, derived from 10 m NED elevation data, aggregated to NHDPlusHD catchments.","Quantifies E to W slope orientation. East-facing slopes (values > 0) warm earlier, affecting snowmelt and phenology.",unitless [minus 1 to 1],"~1 to 5 sq-km (catchment scale, NHDPlusHD)",Local,4,Topography,C,Topography,E,ned,ned_gp_5070_90m.tif,us_ecoregions,us_eco_levels.gpkg,us_eco_l4
55,curvature_iqr,Curvature IQR,NED elev,"IQR of combined curvature types, derived from 10 m NED data, aggregated to NHD+ catchments.",Measures variation in terrain curvature. High values imply complex flow paths and erosion susceptibility.,unitless,"~1 to 5 sq-km (catchment scale, NHDPlusHD)",Local,4,Topography,C,Topography,E,ned,ned_gp_5070_90m.tif,us_ecoregions,us_eco_levels.gpkg,us_eco_l4
56,curvature_planiform,Planform Curvature,NED elev,"Zonal median of planform (horizontal) curvature, derived from 10 m NED data, aggregated to NHDPlusHD catchments.","Identifies slope convergence/divergence. Negative = concave (channels), positive = convex (ridges).",unitless,"~1 to 5 sq-km (catchment scale, NHDPlusHD)",Local,4,Topography,C,Topography,E,ned,ned_gp_5070_90m.tif,us_ecoregions,us_eco_levels.gpkg,us_eco_l4
57,curvature_profile,Profile Curvature,NED elev,"Zonal median of profile (vertical) curvature, derived from 10 m NED elevation data, aggregated to NHDPlusHD catchments.",Represents slope change along flow lines. Helps distinguish depositional vs. erosional terrain zones.,unitless,"~1 to 5 sq-km (catchment scale, NHDPlusHD)",Local,4,Topography,C,Topography,E,ned,ned_gp_5070_90m.tif,us_ecoregions,us_eco_levels.gpkg,us_eco_l4
58,wtsd_elong_ratio,Watershed Elongation,NHDPlusHD catchments,"Watershed elongation ratio, calculated from catchment geometry, aggregated to NHDPlusHD catchments.",Describes catchment shape. More elongated basins have faster runoff and flashier peaks.,unitless ratio (m per m),"~1 to 5 sq-km (catchment scale, NHDPlusHD)",Local,4,Topography,C,Topography,E,nhdphr,nhdphr_catchments_combined.gpkg,us_ecoregions,us_eco_levels.gpkg,us_eco_l4
59,wtsd_circ_ratio,Watershed Circularity,NHDPlusHD catchments,"Watershed circularity ratio, calculated from catchment geometry, aggregated to NHD+ catchments.","Captures catchment compactness. Higher values suggest faster, more concentrated runoff response.",unitless ratio (sq-m per sq-m),"~1 to 5 sq-km (catchment scale, NHDPlusHD)",Local,4,Topography,C,Topography,E,nhdphr,nhdphr_catchments_combined.gpkg,us_ecoregions,us_eco_levels.gpkg,us_eco_l4
60,str_density,Stream Density,NHDPlusHD flowlines,"Zonal mean of stream length per catchment area, derived from NHDPlusHD flowlines, aggregated to NHDPlusHD catchments.",Ratio of total stream length to catchment area. Higher density reflects greater drainage dissection and shorter runoff travel times.,meters per square meter,"~1 to 5 sq-km (catchment scale, NHDPlusHD)",Local,4,Watershed Metrics,D,Watershed Metrics,G,nhdphr,nhdphr_flowlines_combined.gpkg,us_ecoregions,us_eco_levels.gpkg,us_eco_l4
61,str_flow_len_ave,Mean Flow Length,NHDPlusHD flowlines,"Zonal median of average flow path length, derived from NHDPlusHD flowlines, aggregated to NHDPlusHD catchments",Average flow path length to outlet. Longer paths typically indicate delayed runoff response.,meters,"~1 to 5 sq-km (catchment scale, NHDPlusHD)",Local,4,Watershed Metrics,D,Watershed Metrics,G,nhdphr,nhdphr_flowlines_combined.gpkg,us_ecoregions,us_eco_levels.gpkg,us_eco_l4
62,str_slope,Stream Slope,NED elev,"Zonal median of stream slope (elevation drop per unit flow length), derived from NED and NHDPlus data, aggregated to NHDPlusHD catchments.",Elevation drop per unit stream length. Influences runoff velocity and hydrograph shape.,slope ratio (m/m),"~1 to 5 sq-km (catchment scale, NHDPlusHD)",Local,4,Watershed Metrics,D,Watershed Metrics,G,ned,ned_gp_5070_90m.tif,us_ecoregions,us_eco_levels.gpkg,us_eco_l4
