UID,Variable Name,Short Name,Dataset,Description,Notes,Unit,Effective Analytical Resolution,Scale,Scale Ordinal,Domain,Domain Ordinal,Concept Group,Concept Group Ordinal
21,ndvi_len_grow_seas_2016_modis,Growing Season Length,MODIS 2016,"Zonal median of the length of the 2016 growing season (NDVI-based), aggregated to Level II ecoregions.",Indicates length of vegetative activity. Influences evapotranspiration rates and baseflow timing.,days,"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Land Cover,2,Vegetation Indices,4
22,ndvi_seas_pk_2016_modis,Peak NDVI,MODIS 2016,"Zonal median of the seasonal peak NDVI for 2016 MODIS data, aggregated to Level II ecoregions.",Represents seasonal greenness maximum. Serves as a proxy for peak vegetation productivity.,unitless [minus 1 to 1],"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Land Cover,2,Vegetation Indices,4
23,slope_dist_mean,Mean Slope Distribution,NED Elevation,"Zonal mean of NED slope values, aggregated to Level II ecoregions.","Aggregated mean slope at ecoregion scale. Affects stream power, flow velocity, and sediment dynamics.",degrees,"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Topography,3,Topography,5
24,slope_dist_skew,Slope Skewness,NED Elevation,"Zonal skewness NED slope values, aggregated to Level II ecoregions.",Measures asymmetry in slope distribution. Helps identify dominant terrain types and slope transitions.,unitless (skewness),"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Topography,3,Topography,5
25,slope_variability_sd,Slope Variability (StDev),NED Elevation,"Zonal standard deviation (SD) of slope values from NED data, aggregated to Level II ecoregions.",Quantifies slope variability including extremes. Suggests rugged or heterogeneous terrain.,degrees,"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Topography,3,Topography,5
26,slope_variability_iqr,Slope Variability (IQR),NED Elevation,"Zonal interquartile range (IQR) of NED slope values, aggregated to Level II ecoregions.",Measures slope variability using IQR. Robust to outliers; reflects terrain complexity and infiltration dynamics.,degrees,"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Topography,3,Topography,5
27,frac_clay,Clay Fraction,STATSGO2,"Zonal modal fraction of surface soil from zero to 5 cm composed of clay particles from SSURGO2, aggregated to Level II ecoregions.",Indicates surface soil texture. Higher clay content reduces infiltration and increases runoff potential.,proportion [0 to 1],"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Watershed Metrics,4,Soil Properties,6
28,frac_silt,Silt Fraction,STATSGO2,"Zonal modal fraction of surface soil from zero to 5 cm composed of silt particles from SSURGO2, aggregated to Level II ecoregions.",Indicates intermediate soil texture. Balances water retention and infiltration capacity.,proportion [0 to 1],"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Watershed Metrics,4,Soil Properties,6
29,frac_sand,Sand Fraction,STATSGO2,"Zonal modal fraction of surface soil from zero to 5 cm composed of sand particles from SSURGO2, aggregated to Level II ecoregions.",Represents infiltration rate of surface soils. Low values indicate higher runoff and steeper hydrographs.,proportion [0 to 1],"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Watershed Metrics,4,Soil Properties,6
30,str_order_med,Median Stream Order,NHD,"Zonal median of Strahler stream order, aggregated to Level II ecoregions.","Represents typical drainage network complexity. Based on Strahler order, indicating average stream hierarchy within the watershed.",Strahler order,"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Watershed Metrics,4,Watershed Metrics,7
31,str_order_max,Max Stream Order,NHD,"Zonal maximum stream order in the network, aggregated to Level II ecoregions.",Indicates the largest stream order within the catchment. Useful for identifying drainage basin scale and extent.,Strahler order,"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Watershed Metrics,4,Watershed Metrics,7
32,prec_seas_stdev,Seasonal Precip StDev,PRISM pct,Standard deviation of seasonal precip totals from PRISM 1991 to 2020 normals aggegated to Level III ecoregions.,Captures variability across seasons. Sensitive to outliers—useful for detecting flashiness or hydrologic irregularity.,mm,"~50,000 to 100,000 sq-km, based on Level III ecoregion size and heterogeneity",Subregional,3,Climate,1,Climate Variability,2
33,prec_seas_iqr,Seasonal Precip IQR,PRISM pct,IQR (25th to 75th percentile) of seasonal precip totals from PRISM 1991 to 2020 normals aggegated to Level III ecoregions.,Characterizes intra-annual precipitation variability; robust to outliers.,mm,"~50,000 to 100,000 sq-km, based on Level III ecoregion size and heterogeneity",Subregional,3,Climate,1,Climate Variability,2
34,prec_fall_med,Fall Precip (Median),PRISM pct,Sum of zonal medians of fall monthly precip totals (Sep to Nov) from PRISM 1991 to 2020 normals aggegated to Level III ecoregions.,Captures fall precipitation; relevant to baseflow reset and transition to frontal storm systems.,mm,"~50,000 to 100,000 sq-km, based on Level III ecoregion size and heterogeneity",Subregional,3,Climate,1,Climate Variability,2
35,prec_winter_med,Winter Precip (Median),PRISM pct,Sum of zonal medians of winter monthly precip (Dec to Feb) from PRISM 1991 to 2020 normals aggegated to Level III ecoregions.,Indicates snowpack formation potential and winter water storage.,mm,"~50,000 to 100,000 sq-km, based on Level III ecoregion size and heterogeneity",Subregional,3,Climate,1,Climate Variability,2
36,prec_spring_med,Spring Precip (Median),PRISM pct,Sum of zonal medians of summer monthly precip (Jun to Aug) from PRISM 1991 to 2020 normals aggegated to Level III ecoregions.,Key springtime recharge and flood generation season; relevant to melt-transition systems and early crop needs.,mm,"~50,000 to 100,000 sq-km, based on Level III ecoregion size and heterogeneity",Subregional,3,Climate,1,Climate Variability,2
37,prec_summer_med,Summer Precip (Median),PRISM pct,Sum of zonal medians of spring monthly precip (Mar to May) from PRISM 1990 to 2020 normals aggegated to Level III ecoregions.,Captures convective storm seasonality (flood-prone regions).,mm,"~50,000 to 100,000 sq-km, based on Level III ecoregion size and heterogeneity",Subregional,3,Climate,1,Climate Variability,2
38,pct_cov_by_class_modis,Land Cover % (MODIS),MODIS 2016,"Zonal median of percent cover of dominant land class (cropland, forest, etc.) from MODIS 2016 land cover, aggegated to Level III ecoregions.",Summarizes dominant land cover class by proportion within a zone. Helps interpret complex or fragmented landscapes by reducing pixel-level detail to a single representative class.,proportion [0 to 1],"~50,000 to 100,000 sq-km, based on Level III ecoregion size and heterogeneity",Subregional,3,Land Cover,2,Land Cover,3
39,lnd_use_div_ind_2016_modis,Land Use Diversity (MODIS),MODIS 2016,Normalized Shannon-Weiner Diversity Index of MODIS land classes aggegated to Level III ecoregions.,"Reflects land use heterogeneity. Higher values indicate fragmented or mixed land cover, which may affect infiltration and runoff patterns.",unitless index (Shannon-Weiner),"~50,000 to 100,000 sq-km, based on Level III ecoregion size and heterogeneity",Subregional,3,Land Cover,2,Land Cover,3
40,roughness_index,Surface Roughness,NED Elevation,"Zonal median of surface roughness, derived from 10 m NED, aggegated to Level III ecoregions.","Captures fine-scale surface texture. Influences ponding, microrelief, and infiltration pathways.",m/m (slope ratio),"~50,000 to 100,000 sq-km, based on Level III ecoregion size and heterogeneity",Subregional,3,Topography,3,Topography,5
41,twi_index_mean,TWI Mean,NED Elevation,"Categorical version of the Topographic Wetness Index (TWI), created by binning continuous TWI values into ordinal classes (e.g., quartiles or hydrologically relevant thresholds). Simplifies terrain and moisture interactions for modeling and interpretability.",Indicates average terrain wetness potential. Combines slope and upstream drainage area.  Lower classes indicate drier conditions; higher classes represent wetter zones with greater runoff accumulation potential.,unitless index,"~50,000 to 100,000 sq-km, based on Level III ecoregion size and heterogeneity",Subregional,3,Topography,3,Topography,5
42,twi_index_modal,TWI Modal,NED Elevation,Zonal mode of 10 m NED Topographic Wetness Index (TWI) values aggegated to Level III ecoregions.,Shows most frequent wetness class. Useful for identifying dominant moisture or runoff conditions.,unitless index,"~50,000 to 100,000 sq-km, based on Level III ecoregion size and heterogeneity",Subregional,3,Topography,3,Topography,5
43,twi_class,TWI Class,NED Elevation,"Zonal assignment  of ordinal NED Topographic Wetness Index (TWI) classes, derived from 10 m NED, aggegated to Level III ecoregions.","Ordinal wetness class derived from TWI. Simplifies terrain–moisture interactions; lower values = drier, higher = wetter zones.",class label (ordinal ID),"~50,000 to 100,000 sq-km, based on Level III ecoregion size and heterogeneity",Subregional,3,Topography,3,Topography,5
44,soil_perm,Soil Permeability,STATSGO2,Zonal median of STATSGO2 permeability values aggegated to Level III ecoregions.,Represents infiltration rate of surface soils. Low values indicate higher runoff and steeper hydrographs.,mm/h,"~50,000 to 100,000 sq-km, based on Level III ecoregion size and heterogeneity",Subregional,3,Watershed Metrics,4,Soil Properties,6
45,soil_runoff_class,Soil Runoff Class,STATSGO2,Zonal modal soil hydrologic group (A to D) from STATSGO2 aggegated to Level III ecoregions.,USDA hydrologic soil group (A to D). Classifies soils by infiltration capacity and storm response.,class A to D (ordinal),"~50,000 to 100,000 sq-km, based on Level III ecoregion size and heterogeneity",Subregional,3,Watershed Metrics,4,Soil Properties,6
46,flow_accum,Flow Accumulation,NED Elevation,Zonal median of 10 m NED flow accumulation (upslope contributing area) aggegated to Level III ecoregions.,Estimates upslope contributing area. Higher values suggest greater potential for water accumulation and flooding.,contributing area (sq-km),"~50,000 to 100,000 sq-km, based on Level III ecoregion size and heterogeneity",Subregional,3,Watershed Metrics,4,Watershed Metrics,7
47,cnt_freeze_thaw,Freeze–Thaw Days,PRISM daily pct,"Zonal count of freeze–thaw transition days from PRISM daily data (1991 to 2020), aggegated to NHD+ catchments.","Captures thermally transitional zones; relevant for soil structure, infiltration disruption, and freeze thaw runoff events.",days,"~1 to 5 sq-km (catchment scale, NHD+)",Local,4,Climate,1,Climate Variability,2
48,prec_intensity,Precip Intensity (95th-percentile),PRISM daily temp,"Zonal median of 95th percentile of daily precip on wet days from PRISM daily normals (1991 to 2020), aggegated to NHD+ catchments.",Captures storm severity at the upper tail. Correlated with flash flood potential and runoff generation efficiency.,mm,"~1 to 5 sq-km (catchment scale, NHD+)",Local,4,Climate,1,Climate Variability,2
49,wet_day_freq_seasonal,Wet Day Frequency (Seasonal),PRISM daily pct,"Zonal median number of wet days (less than 0.1 mm/day) per season from PRISM daily normals (1991 to 2020), aggregated to NHD+ catchments.",Describes storm frequency and seasonal spacing. Interacts with intensity to shape hydrograph form and flood likelihood.,days,"~1 to 5 sq-km (catchment scale, NHD+)",Local,4,Climate,1,Climate Variability,2
50,pct_cov_by_class_nlcd,Land Cover % (NLCD),NLCD Land Cover 2016,Zonal median percent cover by dominant NLCD class aggegated to NHD+ catchments.,Shows dominant land cover proportion at the catchment scale. Useful for linking terrain features with hydrologic behavior.,proportion [0 to 1],"~1 to 5 sq-km (catchment scale, NHD+)",Local,4,Land Cover,2,Land Cover,3
51,lnd_use_div_ind_nlcd,Land Use Diversity (NLCD),NLCD Land Cover 2016,"Normalized Shannon Weiner Diversity Index of NLCD land cover classes, aggregated to NHD+ catchments.",Measures land cover diversity within a catchment. Supports modeling of transitions or mosaic land use patterns.,unitless index (Shannon-Weiner),"~1 to 5 sq-km (catchment scale, NHD+)",Local,4,Land Cover,2,Land Cover,3
52,elev_range_m,Elevation Range,NED Elevation,"Zonal median elevation range (max minus min elevation) from 10 m NED data, aggregated to NHD+ catchments.","Captures elevation spread within catchment. Linked to slope energy, erosion risk, and runoff response.",meters,"~1 to 5 sq-km (catchment scale, NHD+)",Local,4,Topography,3,Topography,5
53,aspect_cos,Aspect (Cosine),NED Elevation,"Zonal median of the cosine of aspect, derived from 10 m NED data, aggregated to NHD+ catchments.",Quantifies N to S slope orientation. North-facing slopes (values > 0) retain snow longer and reduce evapotranspiration.,unitless [minus 1 to 1],"~1 to 5 sq-km (catchment scale, NHD+)",Local,4,Topography,3,Topography,5
54,aspect_sin,Aspect (Sine),NED Elevation,"Zonal median of the sine of aspect, derived from 10 m NED data, aggregated to NHD+ catchments.","Quantifies E to W slope orientation. East-facing slopes (values > 0) warm earlier, affecting snowmelt and phenology.",unitless [minus 1 to 1],"~1 to 5 sq-km (catchment scale, NHD+)",Local,4,Topography,3,Topography,5
55,curvature_iqr,Curvature IQR,NED Elevation,"IQR of combined curvature types, derived from 10 m NED data, aggregated to NHD+ catchments.",Measures variation in terrain curvature. High values imply complex flow paths and erosion susceptibility.,unitless,"~1 to 5 sq-km (catchment scale, NHD+)",Local,4,Topography,3,Topography,5
56,curvature_planiform,Planform Curvature,NED Elevation,"Zonal median of planform (horizontal) curvature, derived from 10 m NED data, aggregated to NHD+ catchments.","Identifies slope convergence/divergence. Negative = concave (channels), positive = convex (ridges).",unitless,"~1 to 5 sq-km (catchment scale, NHD+)",Local,4,Topography,3,Topography,5
57,curvature_profile,Profile Curvature,NED Elevation,"Zonal median of profile (vertical) curvature, derived from 10 m NED data, aggregated to NHD+ catchments.",Represents slope change along flow lines. Helps distinguish depositional vs. erosional terrain zones.,unitless,"~1 to 5 sq-km (catchment scale, NHD+)",Local,4,Topography,3,Topography,5
58,wtsd_elong_ratio,Watershed Elongation,NHD+,"Watershed elongation ratio, calculated from catchment geometry, aggregated to NHD+ catchments.",Describes catchment shape. More elongated basins have faster runoff and flashier peaks.,unitless ratio (m per m),"~1 to 5 sq-km (catchment scale, NHD+)",Local,4,Topography,3,Topography,5
59,wtsd_circ_ratio,Watershed Circularity,NHD+,"Watershed circularity ratio, calculated from catchment geometry, aggregated to NHD+ catchments.","Captures catchment compactness. Higher values suggest faster, more concentrated runoff response.",unitless ratio (sq-m per sq-m),"~1 to 5 sq-km (catchment scale, NHD+)",Local,4,Topography,3,Topography,5
60,str_density,Stream Density,NHD+,"Zonal median of stream length per catchment area, derived from NHD+ data.",Ratio of total stream length to catchment area. Higher density reflects greater drainage dissection and shorter runoff travel times.,meters per square meter,"~1 to 5 sq-km (catchment scale, NHD+)",Local,4,Watershed Metrics,4,Watershed Metrics,7
61,str_flow_len_ave,Mean Flow Length,NHD+,"Zonal median of average flow path length, derived from NHD+ data.",Average flow path length to outlet. Longer paths typically indicate delayed runoff response.,meters,"~1 to 5 sq-km (catchment scale, NHD+)",Local,4,Watershed Metrics,4,Watershed Metrics,7
62,str_slope,Stream Slope,NHD+,"Zonal median of stream slope (elevation drop per unit flow length), derived from NHD+ data.",Elevation drop per unit stream length. Influences runoff velocity and hydrograph shape.,slope ratio (m/m),"~1 to 5 sq-km (catchment scale, NHD+)",Local,4,Watershed Metrics,4,Watershed Metrics,7
63,wtsd_relief_ratio,Relief Ratio,NED Elevation,"Relief ratio (elevation range divided by stream length) from 10 m NED data, aggregated to NHD+ catchments.",Ratio of watershed relief to main channel length. High values indicate steep basins and higher hydrologic energy.,m/m,"~1 to 5 sq-km (catchment scale, NHD+)",Local,4,Watershed Metrics,4,Watershed Metrics,7
